alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,supplierName,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Producer_Name,Product_Group_Details,Headline,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold
,,,,,,,,,,,,,,,771301,7713,Törley Charmant Rosé,Törley,Sparkling Wine,"Sparkling Wines, Rosé",69.0,Hungary,Hungary,Hungary,329065,-1.0
,,,,,,,,,,,,,,,7081501,70815,Castelforte Soave Organic,Cantine Riondo,White Wine,"White Wines, Fresh & Fruity",69.0,Italian,Venetien,Soave,11190709,973.0
,,,,,,,,,,,,,,,234601,2346,Terras do Cigarrón Godello,Adegas Galegas,White Wine,"White Wines, Fresh & Fruity",69.0,Spain,Galicien,Monterrei,24472757,3026.0
,,,,,,,,,,,,,,,5127301,51273,Crotin Bussanello Plisun,Azienda Vitivinicola Crotin 1897,White Wine,White Wines,69.0,Italian,Piedmont,Piedmont,24583098,75.0
,,,,,,,,,,,,,,,2232401,22324,Le Lion Féroce,Sarl Vignobles Plaza Tedaldi,Red Wine,"Red Wines, Fruity & Flavorful",69.0,France,Languedoc-Roussillon,Minervois,24516817,3492.0
,,,,,,,,,,,,,,,7260001,72600,Pavillon Saint-Pierre Cotes-du-Rhône Organic,Maison Bouachon,Red Wine,"Red Wines, Spicy & Robust",69.0,France,Rhonedalen,Côtes du Rhône,1183780,3238.0
,,,,,,,,,,,,,,,795801,7958,Bacio della luna Prosecco Rosé,Schenk Italia Spa,Sparkling Wine,"Sparkling Wines, Rosé",69.0,Italian,Venetien,Prosecco,24646568,21325.0
,,,,,,,,,,,,,,,7039001,70390,Mureda Syrah,Bodegas Mureda,Red Wine,Red Wines,69.0,Spain,Kastilien-La Mancha,VdlT Castilla,603435,121.0
8.5,regular in-store stock,['Rivaner'],lighter glass bottle,3.2,Hermansson & Co AB,3.0,1.0,9.0,0.0,6.0,"[{'key': 'TasteClockSweetness', 'value': 6}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Asiatiskt', 'Fisk', 'Kryddstarkt', 'Sällskapsdryck']",2022.0,750 ml,604501,6045,Black Tower Fruity White,Reh Kendermann,White Wine,"White Wines, Grapey & Floral",69.0,Germany,Rheinhessen,Rheinhessen,9924,221326.0
13.0,regular in-store stock,['Cabernet sauvignon'],lighter glass bottle,0.0,Solera Sweden AB,6.0,4.0,9.0,6.0,0.0,"[{'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockRoughness', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Buffémat', 'Fläsk', 'Fågel', 'Grönsaker']",2023.0,750 ml,756401,7564,Gato Negro Cabernet Sauvignon,Viña San Pedro,Red Wine,"Red Wines, Fruity & Flavorful",69.0,Chile,Central Valley,Central Valley,8015,217542.0
,,,,,,,,,,,,,,,240401,2404,Orvieto Amabile,Bigi,White Wine,"White Wines, Light & Rounded",69.0,Italian,Umbrien,Orvieto,7880,4793.0
,,,,,,,,,,,,,,,7263701,72637,Schmetterling Riesling,Moselland,White Wine,White Wines,70.0,Germany,Near,Near,698905,247.0
,,,,,,,,,,,,,,,794201,7942,Tobacco Road Sparkling Chardonnay,Gapsted Winery,Sparkling Wine,"Sparkling Wines, Dry",70.0,Australia,Victoria,Victoria,24411617,4078.0
,,,,,,,,,,,,,,,5765801,57658,Marques del Turia Viura Sauvignon Blanc,Vicente Gandia Pla,White Wine,White Wines,71.0,Spain,Valencia,Valencia,27720093,30.0
,,,,,,,,,,,,,,,5526701,55267,Palesa Sauvignon Blanc,uniWines Marketing,White Wine,"White Wines, Fresh & Fruity",71.0,South Africa,Western Cape,Breedekloof,24682105,8.0
,,,,,,,,,,,,,,,5776401,57764,Marques del Turia Bobal Shiraz,Vicente Gandia Pla,Red Wine,Red Wines,71.0,Spain,Valencia,Valencia,27824908,54.0
,,,,,,,,,,,,,,,7479901,74799,Frizzana Spumante Extra Dry,Providential Wines & Spirits AB,Sparkling Wine,"Sparkling Wines, Dry",71.0,Italian,Italian,Italian,24530409,34.0
,,,,,,,,,,,,,,,513501,5135,Moselland Riesling Kabinett,Moselland,White Wine,"White Wines, Grapey & Floral",72.0,Germany,Mosel,Mosel,7116,130446.0
,,,,,,,,,,,,,,,633801,6338,Wolf Blass Eaglehawk Cabernet Sauvignon,Wolf Blass,Red Wine,Red Wines,72.0,Australia,South Eastern Australia,South Eastern Australia,21349,835.0
,,,,,,,,,,,,,,,5825001,58250,Vecchia Cantina Chianti,Vecchia Cantina di Montepulciano,Red Wine,Red Wines,72.0,Italian,Italian,Italian,28646817,15.0
,,,,,,,,,,,,,,,2298101,22981,Monterosso Rosso,Nordic Sea Winery,Red Wine,"Red Wines, Fruity & Flavorful",74.0,Italian,Molise,Osco,48017,209181.0
,,,,,,,,,,,,,,,731901,7319,Törley Gála Sec,Hungarovin,Sparkling Wine,"Sparkling Wines, Semi-dry",74.0,Hungary,Hungary,Hungary,16456,21882.0
,,,,,,,,,,,,,,,7707201,77072,Platino Pink Moscato,J García Carrión,Sparkling Wine,"Sparkling Wines, Rosé",74.0,Spain,Spain,Spain,832453,17027.0
,,,,,,,,,,,,,,,768401,7684,Pata Negra Brut,Jaume Serra,Sparkling Wine,"Sparkling Wines, Dry",74.0,Spain,Cava,Cava,732675,582915.0
,,,,,,,,,,,,,,,268501,2685,Señorío de los Llanos Reserva,Bodegas Vinartis,Red Wine,"Red Wines, Spicy & Robust",74.0,Spain,Kastilien-La Mancha,Valdepeñas,1982,53727.0
,,,,,,,,,,,,,,,5660701,56607,Santa Helena Varietal Sauvignon Blanc,Santa Helena,White Wine,White Wines,75.0,Chile,Chile,Chile,25238193,180.0
12.0,available on order,['Chardonnay'],Glass bottle,0.0,Premiumpartners AB,0.0,0.0,0.0,0.0,0.0,[],[],2014.0,750 ml,7837801,78378,Bio Bio Bio Vino Chardonnay Organic,Ciello e Terra S.p.A,White Wine,White Wines,75.0,Italian,Italian,Italian,882404,178.0
,,,,,,,,,,,,,,,1644301,16443,Wolf Blass Eaglehawk Chardonnay,Wolf Blass,White Wine,"White Wines, Full-bodied & Flavorful",75.0,Australia,South Eastern Australia,South Eastern Australia,35720,96446.0
,,,,,,,,,,,,,,,771001,7710,Marqués de Monistrol Brut,Marqués de Monistrol,Sparkling Wine,"Sparkling Wines, Dry",75.0,Spain,Cava,Cava,4032,14293.0
,,,,,,,,,,,,,,,207901,2079,Indomita Varietal Chardonnay,Viña Indomita,White Wine,"White Wines, Fresh & Fruity",75.0,Chile,Central Valley,Central Valley,537282,17052.0
,,,,,,,,,,,,,,,653201,6532,Santa Helena Varietal Cabernet Sauvignon,Viña Santa Helena,Red Wine,"Red Wines, Fruity & Flavorful",75.0,Chile,Central Valley,Central Valley,20218,837.0
,,,,,,,,,,,,,,,204101,2041,Villa Mottura Primitivo del Salento,Mottura Vini srl,Red Wine,"Red Wines, Fruity & Flavorful",75.0,Italian,Apulia,Apulia,23839349,413.0
,,,,,,,,,,,,,,,7361001,73610,Santa Carolina Cellar Selection Cabernet Sauvignon,Viña Santa Carolina,Red Wine,Red Wines,75.0,Chile,Central Valley,Central Valley,418637,801.0
,,,,,,,,,,,,,,,609101,6091,Rosemount Diamond Blends GTR,Rosemount Estate,White Wine,White Wines,75.0,Australia,South Eastern Australia,South Eastern Australia,326598,3057.0
,,,,,,,,,,,,,,,7362601,73626,Santa Carolina Cellar Selection Sauvignon Blanc,Viña Santa Carolina,White Wine,White Wines,75.0,Chile,Central Valley,Central Valley,418908,542.0
,,,,,,,,,,,,,,,241401,2414,Tr3 Apor Riesling och Gewürztraminer,Enjoy Wine & Spirits,White Wine,"White Wines, Grapey & Floral",75.0,Hungary,Hungary,Hungary,831407,112399.0
,,,,,,,,,,,,,,,600301,6003,Gustav Riesling Trocken,Gustav Adolf Schmitt,White Wine,"White Wines, Fresh & Fruity",75.0,Germany,Rheinhessen,Rheinhessen,675392,159384.0
,,,,,,,,,,,,,,,651201,6512,Ecologica Familias Reserve Shiraz Malbec,La Riojana,Red Wine,"Red Wines, Fruity & Flavorful",75.0,Argentina,Cuyo,Valles del Famatina,50513,331.0
8.5,regular in-store stock,"['Trajadura', 'Azal', 'Loureiro', 'Arinto']",lighter glass bottle,0.9,Philipson Söderberg AB,3.0,1.0,9.0,0.0,2.0,"[{'key': 'TasteClockSweetness', 'value': 2}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Skaldjur', 'Sällskapsdryck']",,750 ml,259601,2596,Casal Garcia Vinho Verde,Aveleda,White Wine,"White Wines, Fresh & Fruity",75.0,Portugal,Vinho Verde,Vinho Verde,1890,219242.0
,,,,,,,,,,,,,,,623101,6231,Ecologica Familias Torrontés Chardonnay,La Riojana,White Wine,"White Wines, Grapey & Floral",75.0,Argentina,Cuyo,Valles del Famatina,44979,28.0
